New Airfoil
1.000209   0.000814
0.996355   0.002178
0.984845   0.006195
0.965829   0.012637
0.939560   0.021143
0.906394   0.031244
0.866790   0.042384
0.821309   0.053961
0.770612   0.065354
0.715451   0.075958
0.656665   0.085212
0.595168   0.092622
0.531941   0.097790
0.468016   0.100426
0.404459   0.100373
0.342352   0.097611
0.282768   0.092266
0.226742   0.084606
0.175245   0.075031
0.129159   0.064044
0.089252   0.052220
0.056164   0.040162
0.030398   0.028453
0.012318   0.017611
0.002153   0.008039
0.000000   0.000000
0.005733   -0.006024
0.019099   -0.009677
0.039826   -0.011068
0.067529   -0.010388
0.101731   -0.007897
0.141872   -0.003927
0.187331   0.001132
0.237432   0.006849
0.291453   0.012765
0.348631   0.018427
0.408159   0.023410
0.469193   0.027356
0.530849   0.029993
0.592213   0.031161
0.652352   0.030826
0.710329   0.029073
0.765215   0.026101
0.816115   0.022202
0.862179   0.017732
0.902623   0.013079
0.936747   0.008630
0.963947   0.004749
0.983738   0.001740
0.995759   -0.000163
0.999791   -0.000814
